On,Off,Ms,Scs,Dev,|,freq,Nd=0,Nd=1,Nd=10,Nd=11,Nd=12,Nd=13,Nd=14,Nd=2,Nd=3,Nd=4,Nd=5,Nd=6,Nd=7,Nd=8,Nd=9,|2,Nd=03,Nd=15,Nd=106,Nd=117,Nd=128,Nd=139,Nd=1410,Nd=211,Nd=312,Nd=413,Nd=514,Nd=615,Nd=716,Nd=817,Nd=918,rule,#correct,%correct,p(rule),p(margin),dev_same_as_rule
0,1,0,2,14,|,166,0,0,0,0,0,3.614,96.386,0,0,0,0,0,0,0,0,|,0,0,0,0.005,0.085,4.351,95.541,0,0,0,0,0.003,0.008,0.007,0,14,160,96.386,0,0,1
0,1,4,2,14,|,405,0,0,0,0,0,3.704,96.296,0,0,0,0,0,0,0,0,|,0,0,0,0.014,0.149,6.058,93.503,0,0,0.004,0,0.077,0.123,0.072,0,14,390,96.296,0,0,1
0,1,1,6,14,|,102,0,0,0,0,0,0,96.078,0,0,0,0,3.922,0,0,0,|,0,0,0.191,0,0.35,0,89.663,0,0,0,1.155,4.66,2.451,1.125,0.405,14,98,96.078,0,0,1
1,1,0,2,14,|,152,0,0,0,0,0,3.947,96.053,0,0,0,0,0,0,0,0,|,0,0,0,0.007,0.116,5.746,94.102,0,0,0,0,0.005,0.013,0.011,0,14,146,96.053,0,0,1
0,0,1,2,14,|,475,0,0,0,0,0.211,3.368,96,0,0,0,0,0,0.211,0.211,0,|,0,0,0,0.007,0.082,4.269,95.597,0,0,0,0,0.009,0.021,0.016,0,14,456,96,0,0,1
1,1,1,2,14,|,275,0,0,0,0,0,4,96,0,0,0,0,0,0,0,0,|,0,0,0,0.013,0.151,7.046,92.723,0,0,0,0,0.012,0.03,0.025,0,14,264,96,0,0,1
0,2,2,2,14,|,50,0,0,0,0,0,2,96,0,0,0,0,2,0,0,0,|,0,0,0,0.002,0.03,1.882,98.077,0,0,0,0,0.002,0.004,0.004,0,14,48,96,0,0,1
1,0,3,2,14,|,343,0,0,0,0,0,3.79,95.918,0,0,0,0,0.292,0,0,0,|,0,0,0,0.007,0.09,5.014,94.719,0,0,0.003,0,0.05,0.074,0.042,0,14,329,95.918,0,0,1
1,0,0,5,5,|,24,0,0,0,0,0,0,0,0,0,4.167,95.833,0,0,0,0,|,0,0,0,0.724,0,0,0,0,0,5.07,69.481,19.632,2.346,0,2.747,5,23,95.833,0,0,1
0,0,1,3,13,|,7,0,0,0,0,0,28.571,71.429,0,0,0,0,0,0,0,0,|,0,0,0,18.922,19.338,42.864,18.875,0,0,0,0,0,0,0,0,13,2,28.571,0.12,0,1
1,2,1,4,14,|,23,0,0,0,0,0,4.348,95.652,0,0,0,0,0,0,0,0,|,0,0,0,0,0.193,8.691,91.08,0,0,0,0,0.016,0,0.02,0,14,22,95.652,0,0,1
0,0,1,4,1,|,3,66.667,33.333,0,0,0,0,0,0,0,0,0,0,0,0,0,|,48.186,31.635,0,0,0,0,0,9.974,0,0,3.652,6.554,0,0,0,0,2,66.667,0.555,0,0
1,2,2,2,14,|,23,0,0,0,0,0,4.348,95.652,0,0,0,0,0,0,0,0,|,0,0,0,0.002,0.042,2.507,97.433,0,0,0,0,0.003,0.007,0.006,0,14,22,95.652,0,0,1
0,0,4,2,14,|,1733,0,0,0,0,0,4.616,95.268,0,0,0,0,0,0,0.115,0,|,0,0,0,0.011,0.11,4.835,94.721,0,0,0.009,0,0.102,0.141,0.072,0,14,1651,95.268,0,0,1
1,0,0,2,14,|,84,0,0,0,0,0,4.762,95.238,0,0,0,0,0,0,0,0,|,0,0,0,0.005,0.085,4.585,95.292,0,0,0,0,0.007,0.014,0.011,0,14,80,95.238,0,0,1
1,1,1,4,14,|,84,0,0,0,0,0,4.762,95.238,0,0,0,0,0,0,0,0,|,0,0,0,0,0.358,15.198,84.304,0,0,0,0,0.079,0,0.061,0,14,80,95.238,0,0,1
