On,Off,Ms,Scs,Dev,|,freq,Nd=0,Nd=1,Nd=10,Nd=11,Nd=12,Nd=13,Nd=14,Nd=2,Nd=3,Nd=4,Nd=5,Nd=6,Nd=7,Nd=8,Nd=9,|2,Nd=03,Nd=15,Nd=106,Nd=117,Nd=128,Nd=139,Nd=1410,Nd=211,Nd=312,Nd=413,Nd=514,Nd=615,Nd=716,Nd=817,Nd=918,rule,#correct,%correct,p(rule),p(margin),dev_same_as_rule
2,0,0,3,7,|,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,|,0,0,1.146,0.125,0.167,0.156,0.217,0,0,0.008,2.208,10.073,38.032,40.478,7.389,8,1,100,1,1,0
2,0,0,3,10,|,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,|,0,0,45.565,28.975,6.217,0.463,0.164,0,0,0,0,0.01,0.017,6.579,12.009,10,0,0,1,1,1
2,0,0,4,4,|,2,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,|,0,0,0,0,0,0,0,0,27.173,35.591,17.89,17.095,1.52,0.215,0.515,4,1,50,0.999,0.999,1
0,2,2,4,9,|,23,0,0,8.696,0,0,0,0,0,0,0,0,0,4.348,43.478,43.478,|,0,0,10.185,1.077,0.257,0.061,0.297,0,0,0.008,0,0,1.738,32.93,53.447,9,10,43.478,0,0,1
0,2,2,2,4,|,30,0,0,0,0,0,0,0,0,3.333,43.333,33.333,16.667,3.333,0,0,|,0,0,0.164,0.099,0.087,0.099,6.707,0.051,10.663,49.553,18.951,11.979,1.136,0.401,0.11,4,13,43.333,0,0,1
0,0,4,4,7,|,157,0,0,0,0,0,0,0,0,0,0,1.274,52.866,43.312,1.911,0.637,|,0,0,0.019,0.005,0.004,0.003,0.002,0,0,0.058,3.084,41.138,49.799,5.66,0.228,7,68,43.312,0,0,1
0,0,1,4,10,|,67,0,0,43.284,8.955,0,0,0,0,0,0,0,0,0,1.493,46.269,|,0,0,54.929,11.136,0.572,0.235,0.095,0,0,0,0,0,0,1.786,31.248,10,29,43.284,0,0,1
2,1,3,2,6,|,37,0,0,0,0,0,0,0,0,0,0,32.432,43.243,24.324,0,0,|,0,0,0.086,0.044,0.018,0.011,0.202,0,0.002,0.054,10.685,70.911,15.586,2.082,0.32,6,16,43.243,0,0,1
1,1,2,3,10,|,58,0,0,43.103,32.759,5.172,0,0,0,0,0,0,0,0,6.897,12.069,|,0,0,42.89,22.046,3.641,0.292,0.119,0,0,0,0,0.045,0.052,13.633,17.282,10,25,43.103,0,0,1
2,0,0,4,11,|,3,0,0,33.333,0,66.667,0,0,0,0,0,0,0,0,0,0,|,0,0,27.683,58.104,12.278,0.516,0.168,0,0,0,0,0,0,0.027,1.223,11,0,0,0.293,0,1
2,0,0,4,12,|,3,0,0,0,33.333,33.333,0,33.333,0,0,0,0,0,0,0,0,|,0,0,1.41,27.35,62.218,7.835,1.139,0,0,0,0,0,0,0,0.048,12,1,33.333,0.203,0,1
2,0,0,4,13,|,3,0,0,0,0,0,66.667,33.333,0,0,0,0,0,0,0,0,|,0,0,0,1.538,37.759,53.884,6.819,0,0,0,0,0,0,0,0,13,2,66.667,0.272,0,1
0,0,1,4,4,|,79,0,0,0,0,0,0,0,0,34.177,43.038,7.595,15.19,0,0,0,|,0.101,0,0,0,0,0,0,1.147,28.033,43.958,15.733,10.047,0.758,0.079,0.145,4,34,43.038,0,0,1
1,1,2,3,11,|,35,0,0,8.571,42.857,37.143,2.857,0,0,0,0,0,0,0,0,8.571,|,0,0,18.026,40.427,24.026,2.507,0.187,0,0,0,0,0,0.147,0.169,14.51,11,15,42.857,0,0,1
2,2,2,4,10,|,21,0,0,42.857,14.286,0,4.762,0,0,0,0,0,0,0,0,38.095,|,0,0,60.662,12.652,1.018,0.478,0.29,0,0,0,0,0,0,1.246,23.655,10,9,42.857,0,0,1
0,1,1,4,13,|,14,0,0,0,7.143,35.714,42.857,14.286,0,0,0,0,0,0,0,0,|,0,0,0,2.311,39.739,51.542,6.408,0,0,0,0,0,0,0,0,13,6,42.857,0,0,1
1,1,1,2,2,|,14,0,14.286,0,0,0,0,0,42.857,21.429,7.143,14.286,0,0,0,0,|,0.017,12.913,0.201,0.305,0.094,0.394,3.616,54.933,13.628,2.365,4.928,5.699,0.474,0.19,0.242,2,6,42.857,0,0,1
1,2,1,2,12,|,14,0,0,0,28.571,42.857,28.571,0,0,0,0,0,0,0,0,0,|,0,0,0.22,13.698,70.813,12.799,2.456,0,0,0,0,0.001,0.006,0.003,0.004,12,6,42.857,0,0,1
2,0,2,2,13,|,14,0,0,0,0,28.571,42.857,28.571,0,0,0,0,0,0,0,0,|,0,0,0.012,0.187,16.655,66.38,16.755,0,0,0,0.001,0.005,0.004,0,0,13,6,42.857,0,0,1
2,0,2,3,7,|,14,0,0,0,0,0,0,0,0,0,0,0,7.143,42.857,42.857,7.143,|,0,0,0.561,0.054,0.058,0.062,0.108,0,0,0.012,3.552,13.912,42.146,34.813,4.723,7,6,42.857,0,0.135,1
0,0,0,3,5,|,7,0,0,0,0,0,0,0,0,0,14.286,42.857,42.857,0,0,0,|,0,0,0,0,0,0,0,0.052,0.828,13.023,50.384,32.62,2.953,0.062,0.077,5,3,42.857,0.014,0.971,1
2,0,0,5,13,|,2,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,|,0,0,5.791,6.247,34.306,53.656,0,0,0,0,0,0,0,0,0,13,2,100,0.983,0.005,1
0,2,0,2,8,|,7,0,0,0,0,0,0,0,0,0,0,0,0,28.571,42.857,28.571,|,0,0,3.423,0.423,0.301,0.182,2.106,0,0,0,0.001,0.129,10.58,65.897,16.959,8,3,42.857,0.001,0.051,1
2,0,1,2,3,|,2,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,|,0,0,0.123,0.413,0.198,0.297,4.825,0,62.168,11.818,7.951,10.264,1.243,0.528,0.17,3,1,50,0.981,0.68,1
1,2,5,4,10,|,7,0,0,42.857,0,0,0,0,0,0,0,0,0,0,0,57.143,|,0,0,53.303,5.588,0.251,0.081,0.025,0,0,0,0,0,0,3.762,36.99,10,3,42.857,0.004,0,1
2,0,1,4,13,|,7,0,0,0,0,28.571,42.857,28.571,0,0,0,0,0,0,0,0,|,0,0,0,2.228,39.478,52.913,5.381,0,0,0,0,0,0,0,0,13,3,42.857,0.002,0,1
2,1,4,2,5,|,7,0,0,0,0,0,0,0,0,0,14.286,42.857,28.571,14.286,0,0,|,0,0,0.023,0.009,0.004,0.006,0.093,0,0.055,9.263,64.301,23.277,2.447,0.423,0.099,5,3,42.857,0.001,0.853,1
2,2,0,2,7,|,7,0,0,0,0,0,0,0,0,0,0,0,28.571,42.857,28.571,0,|,0,0,1.194,0.351,0.294,0.028,3.019,0,0,0,0.046,7.109,60.05,23.857,4.052,7,3,42.857,0.004,0.585,1
2,2,1,2,6,|,7,0,0,0,0,0,0,0,0,0,0,0,42.857,57.143,0,0,|,0,0,0.434,0.291,0.155,0.093,2.801,0,0.001,0.031,6.423,59.209,24.347,5.218,0.996,6,3,42.857,0.005,0.957,1
2,2,1,4,12,|,7,0,0,0,42.857,42.857,14.286,0,0,0,0,0,0,0,0,0,|,0,0,1.371,27.649,62.454,7.23,1.258,0,0,0,0,0,0,0,0.037,12,3,42.857,0.001,0,1
1,0,3,3,9,|,220,0,0,9.545,2.273,0.455,0,0,0,0,0,0,0.455,20.909,23.636,42.727,|,0,0,19.793,2.178,0.265,0,0.048,0,0,0,0,0.132,17.531,21.012,39.041,9,94,42.727,0,0,1
0,2,2,4,6,|,47,0,0,0,0,0,0,0,0,0,0,42.553,42.553,12.766,2.128,0,|,0,0,0.029,0.021,0.027,0,0.168,0.022,0.025,0.911,32.168,55.854,9.827,0.791,0.156,6,20,42.553,0,0,1
0,2,1,4,6,|,99,0,0,0,0,0,0,0,0,0,2.02,41.414,42.424,12.121,2.02,0,|,0,0,0.068,0.052,0.062,0,0.201,0.031,0.028,0.872,28.475,56.059,12.6,1.247,0.304,6,42,42.424,0,0,1
1,2,2,2,10,|,33,0,0,42.424,30.303,9.091,0,0,0,0,0,0,0,0,0,18.182,|,0,0,68.423,13.675,2.243,0.336,1.151,0,0,0,0.001,0.009,0.002,0.374,13.787,10,14,42.424,0,0,1
0,0,4,4,8,|,118,0,0,0,0,0,0,0,0,0,0,0,0,55.932,42.373,1.695,|,0,0,0.333,0.033,0.01,0,0,0,0,0,0.092,3.277,40.752,49.065,6.438,8,50,42.373,0,0,1
2,0,1,3,2,|,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,|,0,0,0,0,0,0,0,0,95.536,4.464,0,0,0,0,0,3,1,100,1,1,0
2,0,1,3,7,|,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,|,0,0,0.959,0.1,0.096,0.084,0.094,0,0,0.008,2.294,10.187,39.425,40.053,6.699,8,2,100,0.995,1,0
2,0,1,3,8,|,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,50,|,0,0,6.124,0.509,0.082,0.072,0.041,0,0,0,0,4.948,12.157,41.224,34.844,8,0,0,0.997,0.999,1
2,0,1,3,9,|,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,75,|,0,0,34.188,5.319,0.644,0,0.08,0,0,0,0,0.025,6.24,12.991,40.513,9,3,75,0.71,0.467,1
2,0,1,3,10,|,3,0,0,66.667,0,33.333,0,0,0,0,0,0,0,0,0,0,|,0,0,46.202,27.966,4.332,0.303,0.086,0,0,0,0,0.013,0.021,7.887,13.19,10,2,66.667,0.665,0.079,1
2,0,1,3,11,|,4,0,0,0,25,25,50,0,0,0,0,0,0,0,0,0,|,0,0,17.145,45.28,25.242,2.295,0.12,0,0,0,0,0,0.053,0.086,9.778,11,1,25,0.697,0.003,1
2,0,1,3,14,|,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0.41,6.962,10.109,82.425,0,0,0,0,0,0,0,0.094,14,1,100,1,1,1
2,0,1,4,3,|,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,|,0,0,0,0,0,0,0,0,68.347,8.556,12.452,10.645,0,0,0,3,1,100,1,1,1
2,0,1,4,4,|,7,0,0,0,0,0,0,0,0,14.286,28.571,57.143,0,0,0,0,|,0,0,0,0,0,0,0,0,27.646,36.38,17.534,16.311,1.487,0.2,0.441,4,2,28.571,0.207,0.185,1
0,0,1,3,7,|,215,0,0,0.93,0,0,0,0,0,0,0,2.326,5.581,42.326,42.326,6.512,|,0,0,0.525,0.054,0.05,0.046,0.08,0,0,0.022,4.407,13.438,43.059,33.6,4.719,7,91,42.326,0,0,1
0,1,4,4,7,|,71,0,0,0,0,0,0,0,0,0,0,0,52.113,42.254,4.225,1.408,|,0,0,0.029,0.009,0.007,0.005,0.002,0,0,0.033,2.226,37.801,52.73,6.83,0.328,7,30,42.254,0,0,1
0,1,4,4,8,|,45,0,0,0,0,0,0,0,0,0,0,0,0,51.111,42.222,6.667,|,0,0,0.453,0.047,0.014,0,0,0,0,0,0.058,2.611,37.428,51.358,8.031,8,19,42.222,0,0,1
1,0,1,4,4,|,45,0,0,0,0,0,0,0,0,22.222,42.222,35.556,0,0,0,0,|,0.045,0,0,0,0,0,0,1.047,27.79,45.363,15.461,9.446,0.664,0.068,0.117,4,19,42.222,0,0,1
0,0,4,4,10,|,57,0,0,42.105,5.263,0,0,0,0,0,0,0,0,0,0,52.632,|,0,0,49.689,6.861,0.306,0.106,0.038,0,0,0,0,0,0,3.311,39.689,10,24,42.105,0,0,1
1,0,1,4,13,|,19,0,0,0,0,47.368,42.105,10.526,0,0,0,0,0,0,0,0,|,0,0,0,2.27,38.783,52.739,6.207,0,0,0,0,0,0,0,0,13,8,42.105,0,0,1
0,1,0,4,5,|,119,0,0,0,0,0,0,0,0,0,21.008,42.017,35.294,1.681,0,0,|,0,0.032,0,0.085,0.05,0,0.05,0.028,0.624,19.675,60.667,17.257,1.164,0.336,0.035,5,50,42.017,0,0,1
0,0,3,4,4,|,74,0,0,0,0,0,0,0,0,43.243,41.892,10.811,2.703,1.351,0,0,|,0.04,0,0,0,0,0,0,0.941,28.197,46.238,15.992,8.091,0.421,0.033,0.046,4,31,41.892,0,0,1
0,0,4,4,9,|,84,0,0,1.19,0,0,0,0,0,0,0,0,0,1.19,55.952,41.667,|,0,0,5.912,0.419,0.057,0.01,0.018,0,0,0.094,0,0,3.554,40.51,49.426,9,35,41.667,0,0,1
0,2,1,4,8,|,72,0,0,0,0,0,0,0,0,0,0,0,5.556,45.833,41.667,6.944,|,0,0,1.284,0.205,0.099,0,0,0,0,0,0.011,0.794,24.459,60.194,12.954,8,30,41.667,0,0,1
1,0,3,4,13,|,36,0,0,0,0,58.333,41.667,0,0,0,0,0,0,0,0,0,|,0,0,0,2.044,36.327,54.389,7.24,0,0,0,0,0,0,0,0,13,15,41.667,0,0,1
1,2,5,4,7,|,24,0,0,0,0,0,0,0,0,0,0,0,58.333,41.667,0,0,|,0,0,0.021,0.004,0.003,0.003,0.001,0,0,0.058,2.692,37.454,52.931,6.614,0.218,7,10,41.667,0,0.001,1
2,0,1,5,8,|,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,|,0,0,0,0.318,0,0,0,0,0,0,0.329,0.437,13.24,82.896,2.78,8,1,100,1,1,1
2,0,1,5,10,|,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,|,0,0,80.456,4.736,0,0,0,0,0,0,0,0,1.989,2.396,10.423,10,1,100,1,1,1
2,0,2,2,3,|,5,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,|,0,0,0.057,0.176,0.093,0.171,4.334,0,59.846,13.236,9.632,10.965,1.039,0.359,0.094,3,4,80,0.132,0,1
0,1,4,3,10,|,12,0,0,41.667,8.333,0,0,0,0,0,0,0,0,0,8.333,41.667,|,0,0,42.14,17.915,2.341,0.134,0.041,0,0,0,0,0.083,0.078,17.362,19.906,10,5,41.667,0.001,0,1
0,1,4,3,12,|,12,0,0,8.333,41.667,41.667,8.333,0,0,0,0,0,0,0,0,0,|,0,0,24.407,21.164,37.218,14.357,2.137,0,0,0,0,0.241,0,0,0.476,12,5,41.667,0.003,0,1
0,2,0,4,8,|,12,0,0,0,0,0,0,0,0,0,0,0,0,16.667,41.667,41.667,|,0,0,1.512,0.253,0.17,0,0,0,0,0,0.01,0.774,23.251,59.949,14.081,8,5,41.667,0,0,1
0,2,5,4,8,|,12,0,0,0,0,0,0,0,0,0,0,0,8.333,50,41.667,0,|,0,0,0.355,0.03,0.009,0,0,0,0,0,0.064,2.498,38.958,52.084,6.002,8,5,41.667,0,0.002,1
1,1,5,4,4,|,12,0,0,0,0,0,0,0,0,50,41.667,8.333,0,0,0,0,|,0.169,0,0,0,0,0,0,1.7,34.454,46.577,11.941,4.93,0.202,0.013,0.014,4,5,41.667,0,0,1
1,2,1,2,5,|,12,0,0,0,0,0,0,0,0,0,25,41.667,25,8.333,0,0,|,0,0,0.077,0.042,0.027,0.048,1.994,0.001,0.055,9.932,59.745,22.911,3.989,0.941,0.238,5,5,41.667,0,0.436,1
0,0,2,3,7,|,682,0,0,0,0,0,0.147,0.147,0,0,0,8.944,22.141,41.202,25.073,2.346,|,0,0,0.295,0.028,0.029,0.033,0.088,0,0,0.03,6.546,17.601,44.149,28.011,3.191,7,281,41.202,0,0,1
0,0,1,6,3,|,17,0,0,5.882,0,11.765,0,5.882,0,5.882,5.882,0,41.176,11.765,5.882,5.882,|,0,0,3.425,3.337,2.891,0,2.383,0,9.706,9.29,4.269,32.758,26.313,1.93,3.7,6,7,41.176,0.003,0.894,0
0,0,5,4,11,|,17,0,0,52.941,41.176,5.882,0,0,0,0,0,0,0,0,0,0,|,0,0,44.124,46.5,4.382,0.151,0.042,0,0,0,0,0,0,0.248,4.553,11,7,41.176,0,0,1
0,1,5,4,9,|,56,0,0,0,0,0,0,0,0,0,0,0,0,1.786,57.143,41.071,|,0,0,5.244,0.305,0.031,0.005,0.005,0,0,0.121,0,0,4.052,42.235,48.001,9,23,41.071,0,0,1
1,0,2,3,6,|,261,0,0,0,0,0,0,0,0,0,2.682,15.709,40.996,34.866,5.747,0,|,0,0,0,0,0.021,0,0,0,0.062,3.372,18.312,49.688,25.709,2.525,0.312,6,107,40.996,0,0,1
2,0,2,3,5,|,2,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,|,0,0,0,0,0,0,0,0,0.577,8.893,48.054,38.911,3.414,0.072,0.08,5,0,0,0.987,1,1
2,0,2,3,6,|,6,0,0,0,0,0,0,0,0,0,0,0,16.667,50,16.667,16.667,|,0,0,0,0,0.068,0,0,0,0.035,1.54,11.824,48.847,32.786,4.234,0.667,6,1,16.667,0.075,0.992,1
0,0,2,3,13,|,44,0,0,0,25,20.455,40.909,13.636,0,0,0,0,0,0,0,0,|,0,0,0,13.714,15.468,41.943,28.875,0,0,0,0,0,0,0,0,13,18,40.909,0,0,1
2,0,3,3,7,|,22,0,0,0,0,0,0,0,0,0,0,0,9.091,40.909,50,0,|,0,0,0.455,0.038,0.038,0.037,0.047,0,0,0.017,4.503,15.846,42.33,32.552,4.137,7,9,40.909,0,0.009,1
2,2,2,4,7,|,22,0,0,0,0,0,0,0,0,0,0,0,45.455,40.909,13.636,0,|,0,0,0.161,0.07,0.096,0.111,0.092,0,0,0.005,0.614,21.604,61.229,15.058,0.96,7,9,40.909,0,0,1
1,0,1,3,8,|,125,0,0,10.4,0.8,0,0,0,0,0,0,0,2.4,4,40.8,41.6,|,0,0,3.869,0.281,0.044,0.039,0.025,0,0,0,0,8.691,16.462,42.451,28.139,8,51,40.8,0,0,1
1,1,2,3,9,|,86,0,0,34.884,4.651,0,0,0,0,0,0,0,0,9.302,10.465,40.698,|,0,0,24.889,3.288,0.425,0,0.086,0,0,0,0,0.069,12.003,17.611,41.629,9,35,40.698,0,0,1
2,0,2,3,12,|,6,0,0,0,0,66.667,33.333,0,0,0,0,0,0,0,0,0,|,0,0,15.013,17.231,39.632,22.883,4.979,0,0,0,0,0.049,0,0,0.213,12,4,66.667,0.217,0,1
2,0,2,3,13,|,5,0,0,0,0,20,60,20,0,0,0,0,0,0,0,0,|,0,0,0,15.336,17.858,46.275,20.531,0,0,0,0,0,0,0,0,13,3,60,0.399,0,1
0,2,2,2,6,|,79,0,0,0,0,0,0,1.266,0,0,0,18.987,40.506,31.646,7.595,0,|,0,0.001,0.086,0.053,0.03,0.023,1.691,0,0.002,0.071,11.821,65.977,17.584,2.353,0.306,6,32,40.506,0,0,1
2,0,2,4,4,|,2,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,|,0,0,0,0,0,0,0,0,24.723,37.85,19.731,16.188,1.155,0.127,0.226,4,1,50,0.999,0.999,1
0,0,1,3,10,|,67,0,0,40.299,35.821,7.463,0,0,0,0,0,0,0,0,5.97,10.448,|,0,0,42.987,25.673,3.852,0.282,0.125,0,0,0,0,0.029,0.039,11.237,15.778,10,27,40.299,0,0,1
0,0,1,3,8,|,139,0,0,5.036,0,0.719,0,0,0,0,0,0,5.755,10.791,40.288,37.41,|,0,0,4.058,0.333,0.052,0.047,0.042,0,0,0,0,7.894,16.06,41.828,29.686,8,56,40.288,0,0,1
0,1,2,3,10,|,72,0,0,40.278,25,4.167,0,1.389,0,0,0,0,0,0,15.278,13.889,|,0,0,41.759,24.23,4.02,0.333,0.181,0,0,0,0,0.038,0.047,12.469,16.924,10,29,40.278,0,0,1
1,0,4,4,6,|,97,0,0,0,0,0,0,0,0,0,1.031,40.206,54.639,4.124,0,0,|,0,0,0.003,0.001,0.001,0,0.001,0.067,0.074,2.414,48.742,44.713,3.778,0.181,0.025,5,39,40.206,0,0,0
0,1,4,4,6,|,152,0,0,0,0,0,0,0,0,0.658,1.316,53.289,40.132,4.605,0,0,|,0,0,0.007,0.003,0.002,0,0.003,0.042,0.043,1.567,41.728,50.932,5.327,0.294,0.052,6,61,40.132,0,0,1
0,1,1,4,10,|,80,0,0,40,15,1.25,0,0,0,0,0,0,0,0,3.75,40,|,0,0,56.348,11.939,0.614,0.233,0.074,0,0,0,0,0,0,1.409,29.382,10,32,40,0,0,1
1,1,5,4,9,|,45,0,0,4.444,0,0,0,0,0,0,0,0,0,2.222,53.333,40,|,0,0,5.104,0.263,0.026,0.004,0.003,0,0,0.149,0,0,4.241,43.76,46.449,9,18,40,0,0,1
2,0,2,4,12,|,3,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,|,0,0,1.83,31.415,56.931,8.237,1.505,0,0,0,0,0,0,0,0.082,12,3,100,0.292,0,1
0,1,0,4,10,|,35,0,0,40,25.714,0,0,0,0,0,0,0,0,0,5.714,28.571,|,0,0,57.145,12.72,0.906,0.366,0.145,0,0,0,0,0,0,1.209,27.508,10,14,40,0,0,1
1,1,0,2,13,|,35,0,0,0,0,17.143,40,42.857,0,0,0,0,0,0,0,0,|,0,0,0.012,0.191,20.574,66.951,12.266,0,0,0,0.001,0.003,0.003,0,0,13,14,40,0,0,1
1,0,4,3,6,|,30,0,0,0,0,3.333,0,0,0,0,6.667,20,40,26.667,3.333,0,|,0,0,0,0,0.006,0,0,0,0.152,5.714,23.484,49.295,19.58,1.601,0.167,6,12,40,0,0.144,1
2,0,2,5,7,|,2,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,|,0,0,0,0.254,0,0.078,0,0,0,0,0.141,14.475,80.831,4.221,0,7,2,100,0.823,0.998,1
2,0,2,5,9,|,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,|,0,0,6.084,0,0,0,0,0,0,0,0.539,1.293,1.25,22.187,68.647,9,1,100,1,1,1
2,0,3,2,3,|,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,|,0,0,0.032,0.088,0.044,0.072,1.326,0,66.706,13.261,8.622,8.817,0.737,0.237,0.058,3,0,0,1,1,1
0,2,2,4,11,|,15,0,0,33.333,40,26.667,0,0,0,0,0,0,0,0,0,0,|,0,0,28.179,56.381,12.645,0.626,0.592,0,0,0,0,0,0,0.049,1.528,11,6,40,0,0,1
1,2,1,2,11,|,15,0,0,26.667,40,20,13.333,0,0,0,0,0,0,0,0,0,|,0,0,14.32,65.878,16.931,1.914,0.713,0,0,0,0,0.002,0.003,0.008,0.23,11,6,40,0,0,1
0,2,0,2,7,|,10,0,0,0,0,0,0,0,0,0,0,0,30,40,20,10,|,0,0,0.645,0.187,0.152,0.015,2.528,0,0,0,0.088,9.239,64.617,19.718,2.812,7,4,40,0,0.127,1
1,2,3,2,12,|,10,0,0,0,0,40,60,0,0,0,0,0,0,0,0,0,|,0,0,0.257,12.979,69.822,13.895,3.015,0,0,0,0,0.003,0.016,0.006,0.007,12,4,40,0,0,1
2,1,2,4,13,|,10,0,0,0,0,50,40,10,0,0,0,0,0,0,0,0,|,0,0,0,1.851,36.267,54.993,6.889,0,0,0,0,0,0,0,0,13,4,40,0,0,1
0,2,4,2,13,|,5,0,0,0,0,40,40,20,0,0,0,0,0,0,0,0,|,0,0,0.019,0.225,21.048,59.326,19.355,0,0,0,0.004,0.013,0.01,0,0,13,2,40,0.016,0,1
1,1,3,3,3,|,5,0,0,0,0,0,0,0,0,40,60,0,0,0,0,0,|,0,0,0,0,0,0,0,9.59,51.474,33.315,4.974,0.646,0,0,0,3,2,40,0.045,0,1
1,2,0,2,8,|,5,0,0,20,20,0,0,20,0,0,0,0,0,0,40,0,|,0,0,3.288,0.36,0.255,0.149,1.29,0,0,0,0.001,0.143,10.928,67.389,16.198,8,2,40,0.029,0.293,1
2,0,3,2,12,|,4,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,|,0,0,0.316,16.685,67.687,13.564,1.709,0,0,0,0,0.004,0.02,0.007,0.009,12,4,100,0.139,0,1
2,1,0,2,13,|,5,0,0,0,0,60,40,0,0,0,0,0,0,0,0,0,|,0,0,0.011,0.189,21.165,67.886,10.747,0,0,0,0,0.001,0.001,0,0,13,2,40,0.002,0,1
2,0,3,3,4,|,2,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,|,0,0,0.223,0,0,0,0,0,12.307,45.493,37.104,4.365,0.508,0,0,4,0,0,0.992,1,1
2,0,3,3,5,|,4,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,|,0,0,0,0,0,0,0,0,0.744,10.316,49.801,36.225,2.802,0.055,0.057,5,0,0,0.407,0.999,1
2,1,4,4,6,|,5,0,0,0,0,0,0,0,0,0,0,60,40,0,0,0,|,0,0,0.018,0.009,0.007,0,0.005,0,0.03,0.913,32.764,58.254,7.359,0.529,0.111,6,2,40,0.011,0.975,1
1,0,3,3,10,|,141,0,0,39.716,11.348,2.837,0.709,0,0,0,0,0,0,0,21.277,24.113,|,0,0,40.672,17.416,2.706,0.211,0.079,0,0,0,0,0.102,0.09,19.396,19.327,10,56,39.716,0,0,1
1,0,2,3,7,|,330,0,0,0,0,0,0,0.303,0,0,0,5.455,16.061,39.697,33.939,4.545,|,0,0,0.27,0.023,0.023,0.026,0.052,0,0,0.034,7.239,18.622,43.487,27.318,2.906,7,131,39.697,0,0,1
0,1,5,4,8,|,86,0,0,1.163,0,0,0,0,0,0,0,0,0,58.14,39.535,1.163,|,0,0,0.273,0.022,0.005,0,0,0,0,0,0.101,3.558,42.964,47.296,5.781,8,34,39.535,0,0,1
0,0,3,3,13,|,66,0,0,0,21.212,25.758,39.394,13.636,0,0,0,0,0,0,0,0,|,0,0,0,16.802,17.869,43.608,21.721,0,0,0,0,0,0,0,0,13,26,39.394,0,0,1
1,0,2,3,9,|,254,0,0,24.803,3.543,0.394,0,0,0,0,0,0,0,17.717,14.173,39.37,|,0,0,21.685,2.741,0.353,0,0.098,0,0,0,0,0.103,15.497,19.95,39.571,9,100,39.37,0,0,1
1,0,2,3,10,|,163,0,0,39.264,19.018,4.294,0,0,0,0,0,0,0,0,20.245,17.178,|,0,0,40.983,20.156,3.322,0.288,0.149,0,0,0,0,0.073,0.073,16.939,18.017,10,64,39.264,0,0,1
0,0,4,3,7,|,69,0,0,0,0,0,0,0,0,0,0,17.391,21.739,39.13,20.29,1.449,|,0,0,0.171,0.012,0.01,0.008,0.011,0,0,0.063,10.602,22.055,42.468,22.44,2.159,7,27,39.13,0,0,1
0,1,1,4,3,|,72,0,1.389,0,0,0,0,0,23.611,38.889,8.333,16.667,11.111,0,0,0,|,0,0.551,0,0,0,0,0,25.766,46.752,7.987,10.843,8.101,0,0,0,3,28,38.889,0,0,1
2,0,3,4,3,|,2,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,|,0,0,0,0,0,0,0,0,69.458,9.093,12.788,8.661,0,0,0,3,2,100,0.945,0.456,1
2,0,3,4,4,|,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,|,0,0,0,0,0,0,0,0,28.35,39.014,18.171,13.392,0.843,0.086,0.144,4,1,100,1,1,1
2,1,2,2,4,|,18,0,0,0,0,0,0,0,0,16.667,38.889,22.222,22.222,0,0,0,|,0,0,0.337,0.197,0.131,0.135,3.103,0,7.732,44.168,22.679,18.977,1.683,0.638,0.221,4,7,38.889,0,0.006,1
0,0,0,3,7,|,13,0,0,0,0,0,0,0,0,0,0,15.385,15.385,38.462,30.769,0,|,0,0,0.632,0.068,0.088,0.086,0.186,0,0,0.02,4.273,13.381,41.829,34.195,5.242,7,5,38.462,0,0.16,1
0,0,1,6,9,|,13,0,0,0,0,0,0,0,0,0,0,7.692,38.462,53.846,0,0,|,0,0,7.388,0,0,0,3.709,0,2.901,0,2.671,40.093,27.502,2.69,13.045,6,5,38.462,0,0.823,0
0,0,4,3,12,|,13,0,0,46.154,15.385,38.462,0,0,0,0,0,0,0,0,0,0,|,0,0,24.715,20.505,35.988,15.013,2.836,0,0,0,0,0.416,0,0,0.526,12,5,38.462,0.001,0,1
